Date,Open,High,Low,Close,12-day ema,26-day ema,MACD,Volume
19-02-14,46600,47500,46150,47500,45446.65991,3274.045158,42172.61475,17259341
19-02-15,46750,46850,45650,46050,45539.48146,3159.261484,42380.21998,10554643
19-02-18,46500,46850,45850,46200,45641.0997,3179.202108,42461.89759,8183728
19-02-19,45850,46150,45450,45950,45688.62282,3159.149695,42529.47313,6741395
19-02-20,46750,47100,46500,46900,45874.98854,3231.062559,42643.92598,11506720
19-02-21,46500,47200,46200,46950,46040.37492,3229.234504,42811.14042,8694009
19-02-22,46500,47150,46450,47150,46211.08647,3244.189938,42966.89653,6895772
19-02-25,47400,47550,47050,47350,46386.30394,3257.854335,43128.4496,7484716
19-02-26,47350,47450,46500,46750,46442.25718,3212.358783,43229.89839,7985547
19-02-27,47000,47250,46750,46750,46489.60223,3215.858441,43273.74379,8045211
19-02-28,46400,46500,45100,45100,46275.81727,3093.367014,43182.45025,23569321
19-03-04,46000,46100,44800,44850,46056.46077,3084.270913,42972.18985,12926539
19-03-05,44600,45100,44150,44250,45778.54372,3040.526169,42738.01756,10612405
19-03-06,44000,44300,43700,44000,45504.92161,3025.372631,42479.54898,10202544
19-03-07,43400,44950,43400,44450,45342.62598,3059.871621,42282.75436,11049749
19-03-08,44450,44800,43800,43800,45105.29891,3009.069704,42096.2292,7729069
19-03-11,44400,44450,43650,43650,44881.40677,3001.866433,41879.54033,10717408
19-03-12,44300,44950,44150,44650,44845.80573,3076.494605,41769.31112,11431977
19-03-13,44250,44450,43700,43850,44692.60485,3011.494717,41681.11013,8108343
19-03-14,43700,44300,43550,43850,44562.97333,3016.494708,41546.47862,18039161
19-03-15,43800,44250,43700,44200,44507.13128,3042.03602,41465.09526,16814163
19-03-18,43950,44150,43450,43700,44382.95724,3003.034266,41379.92297,8188876
19-03-19,43750,43900,43550,43900,44308.65612,3020.849216,41287.80691,7609563
19-03-20,43800,44200,43100,44050,44268.86287,3030.589946,41238.27293,9846242
19-03-21,44600,46250,44050,45850,44512.11474,3163.173993,41348.94075,21138016
19-03-22,46850,47000,46250,46550,44825.63555,3204.827072,41620.80848,12535911
19-03-25,45300,45650,44800,45500,44929.38393,3123.845211,41805.53871,8699728
19-03-26,45500,45700,44900,45250,44978.70948,3111.556066,41867.15341,9729811
19-03-27,44750,45600,44250,45350,45035.83109,3119.908793,41915.9223,9568081
19-03-28,44950,45200,44300,44850,45007.2417,3082.229238,41925.01246,6821306
19-03-29,44500,44900,44200,44650,44952.28143,3070.312851,41881.96858,11491713
19-04-01,45200,45450,44850,45050,44967.31506,3100.859125,41866.45593,7362129
